Measurement #,Degrees,Minutes,Seconds
1,0,24,16
2,0,48,31
3,1,12,46
4,1,37,0
5,2,1,12
6,2,25,22
7,2,29,30
8,3,13,37
9,3,37,37
10,4,1,38
11,4,27,32
12,4,49,21
13,5,13,11
14,5,36,53
15,6,0,31
16,6,24,1
17,6,48,26
18,7,10,45
19,7,33,57
20,7,57,3
21,8,20,0
22,8,42,50
23,9,5,32
24,9,28,5
25,9,50,29
26,10,12,46
27,10,34,57
28,10,56,44
29,11,18,25
30,11,39,59
31,12,1,20
32,12,22,30
33,12,43,28
34,13,4,14
35,13,24,47
36,13,45,6
37,14,5,11
38,14,25,2
39,14,44,39
40,15,4,4
41,15,23,10
42,15,42,2
43,16,0,38
44,16,18,58
45,16,37,20
